Метод,Набор,Параметры,Итерации,f(x*),Сошлось?
Momentum,set1,"alpha=0.001, beta=0.8",159,3.574e+00,✓
Momentum,set2,"alpha=0.003, beta=0.9",311,3.574e+00,✓
Momentum,set3,"alpha=0.001, beta=0.9",301,3.574e+00,✓
Nesterov,set1,"alpha=0.001, beta=0.8",120,3.574e+00,✓
Nesterov,set2,"alpha=0.001, beta=0.9",194,3.574e+00,✓
Nesterov,set3,"alpha=0.0005, beta=0.9",222,3.574e+00,✓
AdaGrad,set1,alpha=0.05,1047,3.574e+00,✓
AdaGrad,set2,alpha=0.1,54,3.574e+00,✓
AdaGrad,set3,alpha=0.2,51,3.574e+00,✓
RMSProp,set1,"alpha=0.02, rho=0.9",—,3.580e+00,✗
RMSProp,set2,"alpha=0.05, rho=0.9",—,3.607e+00,✗
RMSProp,set3,"alpha=0.01, rho=0.95",—,3.576e+00,✗
AdaDelta,set1,rho=0.99,105,3.574e+00,✓
AdaDelta,set2,rho=0.999,68,3.574e+00,✓
AdaDelta,set3,rho=0.95,—,3.865e+00,✗
Adam,set1,"alpha=0.01, beta1=0.85, beta2=0.99",257,3.574e+00,✓
Adam,set2,"alpha=0.02, beta1=0.9, beta2=0.999",378,3.574e+00,✓
Adam,set3,"alpha=0.05, beta1=0.9, beta2=0.999",359,3.574e+00,✓
