Метод,Набор,Параметры,Итерации,f(x*),Сошлось?
Momentum,set1,"alpha=0.001, beta=0.8",6007,4.925e-12,✓
Momentum,set2,"alpha=0.003, beta=0.9",988,1.040e-13,✓
Momentum,set3,"alpha=0.001, beta=0.9",3077,1.157e-12,✓
Nesterov,set1,"alpha=0.001, beta=0.8",5214,1.252e-10,✓
Nesterov,set2,"alpha=0.001, beta=0.9",2526,1.253e-10,✓
Nesterov,set3,"alpha=0.0005, beta=0.9",4816,5.015e-10,✓
AdaGrad,set1,alpha=0.05,37442,1.154e-16,✓
AdaGrad,set2,alpha=0.1,26142,1.156e-16,✓
AdaGrad,set3,alpha=0.2,22423,1.178e-16,✓
RMSProp,set1,"alpha=0.02, rho=0.9",—,8.548e-02,✗
RMSProp,set2,"alpha=0.05, rho=0.9",—,4.356e-01,✗
RMSProp,set3,"alpha=0.01, rho=0.95",—,2.215e-02,✗
AdaDelta,set1,rho=0.99,—,5.615e-01,✗
AdaDelta,set2,rho=0.999,—,1.672e-01,✗
AdaDelta,set3,rho=0.95,—,1.138e+00,✗
Adam,set1,"alpha=0.01, beta1=0.85, beta2=0.99",—,5.242e-06,✗
Adam,set2,"alpha=0.02, beta1=0.9, beta2=0.999",1314,1.108e-16,✓
Adam,set3,"alpha=0.05, beta1=0.9, beta2=0.999",1233,1.100e-16,✓
