Метод,x0,Параметры,Итерации,f(x*),Сошлось?
Momentum,[1.5 1. ],"alpha=0.003, beta=0.9",311,3.574e+00,✓
Nesterov,[1.5 1. ],"alpha=0.001, beta=0.9",194,3.574e+00,✓
AdaGrad,[1.5 1. ],alpha=0.1,54,3.574e+00,✓
RMSProp,[1.5 1. ],"alpha=0.02, rho=0.9",—,3.580e+00,✗
AdaDelta,[1.5 1. ],rho=0.99,105,3.574e+00,✓
Adam,[1.5 1. ],"alpha=0.02, beta1=0.9, beta2=0.999",378,3.574e+00,✓
Momentum,[-2.  2.],"alpha=0.003, beta=0.9",227,6.560e+00,✓
Nesterov,[-2.  2.],"alpha=0.001, beta=0.9",121,6.560e+00,✓
AdaGrad,[-2.  2.],alpha=0.1,35,6.560e+00,✓
RMSProp,[-2.  2.],"alpha=0.02, rho=0.9",—,6.565e+00,✗
AdaDelta,[-2.  2.],rho=0.99,26,6.560e+00,✓
Adam,[-2.  2.],"alpha=0.02, beta1=0.9, beta2=0.999",289,6.560e+00,✓
Momentum,[ 2.5 -1.5],"alpha=0.003, beta=0.9",314,5.382e+00,✓
Nesterov,[ 2.5 -1.5],"alpha=0.001, beta=0.9",201,5.382e+00,✓
AdaGrad,[ 2.5 -1.5],alpha=0.1,44,5.382e+00,✓
RMSProp,[ 2.5 -1.5],"alpha=0.02, rho=0.9",36,5.382e+00,✓
AdaDelta,[ 2.5 -1.5],rho=0.99,91,5.382e+00,✓
Adam,[ 2.5 -1.5],"alpha=0.02, beta1=0.9, beta2=0.999",414,5.382e+00,✓
