Метод,x0,Параметры,Итерации,f(x*),Сошлось?
Momentum,[0. 0.],"alpha=0.003, beta=0.9",441,1.037e-18,✓
Nesterov,[0. 0.],"alpha=0.003, beta=0.9",196,1.166e-15,✓
AdaGrad,[0. 0.],alpha=0.05,12331,1.762e-18,✓
RMSProp,[0. 0.],"alpha=0.005, rho=0.95",—,4.617e-04,✗
AdaDelta,[0. 0.],rho=0.95,—,1.472e+00,✗
Adam,[0. 0.],"alpha=0.02, beta1=0.9, beta2=0.999",552,1.332e-18,✓
Momentum,[-3.  3.],"alpha=0.003, beta=0.9",392,4.500e-19,✓
Nesterov,[-3.  3.],"alpha=0.003, beta=0.9",120,6.160e-18,✓
AdaGrad,[-3.  3.],alpha=0.05,132,6.458e-19,✓
RMSProp,[-3.  3.],"alpha=0.005, rho=0.95",106,6.403e-19,✓
AdaDelta,[-3.  3.],rho=0.95,205,2.644e-19,✓
Adam,[-3.  3.],"alpha=0.02, beta1=0.9, beta2=0.999",378,5.217e-19,✓
Momentum,[ 3. -1.],"alpha=0.003, beta=0.9",407,7.190e-19,✓
Nesterov,[ 3. -1.],"alpha=0.003, beta=0.9",200,1.071e-17,✓
AdaGrad,[ 3. -1.],alpha=0.05,838,1.165e-18,✓
RMSProp,[ 3. -1.],"alpha=0.005, rho=0.95",248,6.264e-19,✓
AdaDelta,[ 3. -1.],rho=0.95,348,2.268e-19,✓
Adam,[ 3. -1.],"alpha=0.02, beta1=0.9, beta2=0.999",400,1.260e-18,✓
