Метод,x0,Параметры,Итерации,f(x*),Сошлось?
Momentum,[-1.  1.],"alpha=0.003, beta=0.9",988,1.040e-13,✓
Nesterov,[-1.  1.],"alpha=0.001, beta=0.9",2526,1.253e-10,✓
AdaGrad,[-1.  1.],alpha=0.1,26142,1.156e-16,✓
RMSProp,[-1.  1.],"alpha=0.02, rho=0.9",—,8.548e-02,✗
AdaDelta,[-1.  1.],rho=0.99,—,5.615e-01,✗
Adam,[-1.  1.],"alpha=0.02, beta1=0.9, beta2=0.999",1314,1.108e-16,✓
Momentum,[ 0.5 -0.5],"alpha=0.003, beta=0.9",1009,1.052e-13,✓
Nesterov,[ 0.5 -0.5],"alpha=0.001, beta=0.9",2501,1.260e-10,✓
AdaGrad,[ 0.5 -0.5],alpha=0.1,—,3.847e-15,✗
RMSProp,[ 0.5 -0.5],"alpha=0.02, rho=0.9",—,8.779e-02,✗
AdaDelta,[ 0.5 -0.5],rho=0.99,—,5.309e-01,✗
Adam,[ 0.5 -0.5],"alpha=0.02, beta1=0.9, beta2=0.999",5370,1.223e-16,✓
Momentum,[-1.5  2. ],"alpha=0.003, beta=0.9",1006,1.043e-13,✓
Nesterov,[-1.5  2. ],"alpha=0.001, beta=0.9",2566,1.256e-10,✓
AdaGrad,[-1.5  2. ],alpha=0.1,42607,9.885e-17,✓
RMSProp,[-1.5  2. ],"alpha=0.02, rho=0.9",—,8.779e-02,✗
AdaDelta,[-1.5  2. ],rho=0.99,—,5.003e-01,✗
Adam,[-1.5  2. ],"alpha=0.02, beta1=0.9, beta2=0.999",3599,9.602e-17,✓
