beta1,beta2,Итерации,f(x*),Сошлось?
0.7,0.9,—,2.060e-05,✗
0.8,0.9,—,2.416e-05,✗
0.9,0.9,—,1.421e-05,✗
0.95,0.9,—,1.804e-06,✗
0.99,0.9,—,6.358e-02,✗
0.7,0.95,197,3.621e-20,✓
0.8,0.95,267,1.750e-19,✓
0.9,0.95,—,1.252e-05,✗
0.95,0.95,—,1.059e-05,✗
0.99,0.95,—,1.110e-07,✗
0.7,0.99,291,3.640e-24,✓
0.8,0.99,287,1.072e-19,✓
0.9,0.99,447,5.501e-20,✓
0.95,0.99,833,1.682e-19,✓
0.99,0.99,—,5.787e-07,✗
0.7,0.995,371,5.022e-19,✓
0.8,0.995,325,3.827e-21,✓
0.9,0.995,446,9.326e-20,✓
0.95,0.995,822,1.859e-19,✓
0.99,0.995,—,1.924e-08,✗
0.7,0.999,449,4.329e-19,✓
0.8,0.999,382,3.870e-19,✓
0.9,0.999,437,1.984e-20,✓
0.95,0.999,836,1.573e-19,✓
0.99,0.999,3884,1.492e-23,✓
