alpha,beta,Итерации,f(x*),Сошлось?
0.001,0.5,6435,1.242e-11,✓
0.003,0.5,2315,1.371e-12,✓
0.005,0.5,1432,4.866e-13,✓
0.01,0.5,740,1.160e-13,✓
0.02,0.5,375,2.790e-14,✓
0.001,0.7,3992,4.409e-12,✓
0.003,0.7,1415,4.709e-13,✓
0.005,0.7,863,1.611e-13,✓
0.01,0.7,428,3.666e-14,✓
0.02,0.7,193,5.830e-15,✓
0.001,0.85,2039,1.028e-12,✓
0.003,0.85,666,9.086e-14,✓
0.005,0.85,354,2.365e-14,✓
0.01,0.85,216,8.988e-14,✓
0.02,0.85,206,2.629e-13,✓
0.001,0.9,1319,4.024e-13,✓
0.003,0.9,316,5.088e-13,✓
0.005,0.9,310,9.436e-13,✓
0.01,0.9,336,3.640e-14,✓
0.02,0.9,279,1.102e-11,✓
0.001,0.95,619,2.588e-12,✓
0.003,0.95,634,1.214e-12,✓
0.005,0.95,654,3.880e-13,✓
0.01,0.95,656,3.683e-13,✓
0.02,0.95,664,3.913e-12,✓
