alpha,beta,Итерации,f(x*),Сошлось?
0.001,0.5,9539,4.995e-17,✓
0.003,0.5,3167,5.025e-17,✓
0.005,0.5,1893,5.008e-17,✓
0.01,0.5,937,5.038e-17,✓
0.02,0.5,—,nan,✗
0.001,0.7,5695,5.013e-17,✓
0.003,0.7,1872,4.993e-17,✓
0.005,0.7,1106,5.112e-17,✓
0.01,0.7,531,5.043e-17,✓
0.02,0.7,—,nan,✗
0.001,0.85,2767,5.003e-17,✓
0.003,0.85,845,4.974e-17,✓
0.005,0.85,444,5.096e-17,✓
0.01,0.85,201,8.200e-17,✓
0.02,0.85,—,nan,✗
0.001,0.9,1738,5.057e-17,✓
0.003,0.9,362,5.609e-17,✓
0.005,0.9,314,5.847e-17,✓
0.01,0.9,245,1.070e-14,✓
0.02,0.9,—,nan,✗
0.001,0.95,641,8.561e-17,✓
0.003,0.95,624,5.788e-17,✓
0.005,0.95,552,5.207e-16,✓
0.01,0.95,472,5.991e-15,✓
0.02,0.95,—,nan,✗
