alpha,rho,Итерации,f(x*),Сошлось?
0.001,0.7,2021,4.184e-16,✓
0.003,0.7,—,1.136e-04,✗
0.005,0.7,—,3.156e-04,✗
0.01,0.7,—,1.262e-03,✗
0.02,0.7,—,5.050e-03,✗
0.001,0.8,2033,1.289e-16,✓
0.003,0.8,696,4.925e-17,✓
0.005,0.8,427,2.120e-16,✓
0.01,0.8,224,2.300e-16,✓
0.02,0.8,121,1.256e-16,✓
0.001,0.9,2069,5.680e-15,✓
0.003,0.9,727,3.261e-15,✓
0.005,0.9,456,3.959e-15,✓
0.01,0.9,250,4.806e-15,✓
0.02,0.9,144,2.279e-15,✓
0.001,0.95,2133,1.056e-14,✓
0.003,0.95,781,9.223e-15,✓
0.005,0.95,505,1.198e-14,✓
0.01,0.95,292,1.220e-14,✓
0.02,0.95,177,9.246e-15,✓
0.001,0.99,2517,4.175e-13,✓
0.003,0.99,1075,3.936e-13,✓
0.005,0.99,743,3.755e-13,✓
0.01,0.99,430,2.537e-13,✓
0.02,0.99,212,1.369e-13,✓
