beta1,beta2,Итерации,f(x*),Сошлось?
0.7,0.9,—,2.675e-06,✗
0.8,0.9,—,7.168e-07,✗
0.9,0.9,—,1.154e-06,✗
0.95,0.9,51486,1.833e-17,✓
0.99,0.9,—,2.505e-03,✗
0.7,0.95,185,3.440e-19,✓
0.8,0.95,227,4.090e-18,✓
0.9,0.95,51296,2.369e-18,✓
0.95,0.95,—,1.308e-07,✗
0.99,0.95,—,2.754e-08,✗
0.7,0.99,285,1.697e-17,✓
0.8,0.99,256,1.240e-17,✓
0.9,0.99,381,4.907e-19,✓
0.95,0.99,620,1.024e-17,✓
0.99,0.99,8942,1.329e-17,✓
0.7,0.995,346,2.265e-17,✓
0.8,0.995,313,2.120e-17,✓
0.9,0.995,378,3.249e-18,✓
0.95,0.995,686,1.002e-18,✓
0.99,0.995,3595,6.794e-18,✓
0.7,0.999,408,2.231e-17,✓
0.8,0.999,359,2.079e-17,✓
0.9,0.999,284,2.232e-18,✓
0.95,0.999,650,1.780e-17,✓
0.99,0.999,3125,1.206e-18,✓
