alpha,beta,Итерации,f(x*),Сошлось?
0.001,0.5,3466,6.186e-12,✓
0.003,0.5,1233,6.649e-13,✓
0.005,0.5,756,2.347e-13,✓
0.01,0.5,383,5.395e-14,✓
0.02,0.5,185,1.264e-14,✓
0.001,0.7,2131,2.165e-12,✓
0.003,0.7,736,2.220e-13,✓
0.005,0.7,437,7.131e-14,✓
0.01,0.7,196,1.156e-14,✓
0.02,0.7,97,2.386e-15,✓
0.001,0.85,1046,4.681e-13,✓
0.003,0.85,257,1.867e-14,✓
0.005,0.85,191,1.881e-13,✓
0.01,0.85,178,1.882e-12,✓
0.02,0.85,179,1.606e-12,✓
0.001,0.9,605,1.411e-13,✓
0.003,0.9,263,6.918e-12,✓
0.005,0.9,284,7.180e-13,✓
0.01,0.9,231,1.934e-10,✓
0.02,0.9,299,1.436e-13,✓
0.001,0.95,504,4.551e-11,✓
0.003,0.95,465,3.339e-10,✓
0.005,0.95,544,5.853e-12,✓
0.01,0.95,489,9.714e-11,✓
0.02,0.95,436,1.473e-09,✓
