alpha,beta,Итерации,f(x*),Сошлось?
0.001,0.5,3299,2.503e-11,✓
0.003,0.5,1182,2.768e-12,✓
0.005,0.5,729,9.842e-13,✓
0.01,0.5,373,2.608e-13,✓
0.02,0.5,186,6.509e-14,✓
0.001,0.7,1960,2.517e-11,✓
0.003,0.7,687,2.825e-12,✓
0.005,0.7,413,1.029e-12,✓
0.01,0.7,194,2.703e-13,✓
0.02,0.7,84,6.582e-14,✓
0.001,0.85,922,2.556e-11,✓
0.003,0.85,251,2.828e-12,✓
0.005,0.85,148,1.906e-12,✓
0.01,0.85,152,3.081e-13,✓
0.02,0.85,129,1.162e-12,✓
0.001,0.9,525,2.603e-11,✓
0.003,0.9,150,2.785e-09,✓
0.005,0.9,208,4.026e-12,✓
0.01,0.9,204,2.449e-12,✓
0.02,0.9,170,5.076e-12,✓
0.001,0.95,400,4.507e-11,✓
0.003,0.95,411,5.676e-12,✓
0.005,0.95,375,4.455e-12,✓
0.01,0.95,349,3.180e-12,✓
0.02,0.95,275,2.464e-12,✓
