alpha,rho,Итерации,f(x*),Сошлось?
0.001,0.7,—,5.000e-07,✗
0.003,0.7,—,4.500e-06,✗
0.005,0.7,—,1.250e-05,✗
0.01,0.7,—,5.000e-05,✗
0.02,0.7,—,2.000e-04,✗
0.001,0.8,2036,8.682e-21,✓
0.003,0.8,699,4.355e-19,✓
0.005,0.8,430,6.317e-18,✓
0.01,0.8,228,8.630e-19,✓
0.02,0.8,125,2.494e-18,✓
0.001,0.9,2077,5.232e-18,✓
0.003,0.9,734,2.142e-17,✓
0.005,0.9,463,2.354e-17,✓
0.01,0.9,257,2.375e-17,✓
0.02,0.9,151,8.111e-18,✓
0.001,0.95,2150,1.239e-17,✓
0.003,0.95,797,2.020e-17,✓
0.005,0.95,521,2.195e-17,✓
0.01,0.95,308,1.535e-17,✓
0.02,0.95,193,8.397e-18,✓
0.001,0.99,2623,2.300e-17,✓
0.003,0.99,1175,2.216e-17,✓
0.005,0.99,840,2.192e-17,✓
0.01,0.99,519,2.242e-17,✓
0.02,0.99,283,2.378e-17,✓
